"band","year","site_nest","ts_ratio1","ts_ratio2","ts_ratio3","ts_ratio4","Age","Mass","Flat_Wing","Bleed1_CORT_corrected_value","Bleed1_Glucose","Bleed2_CORT_corrected_value","Bleed2_Glucose","Bleed3_CORT_corrected_value","Bleed3_Glucose","experiment","color","fbbright","predator","dull","gen_dad","full_treatment","soc_mom","gen_mom","raised_nest","sex","d12_base","d12_stress","d12_dex","d15_acth","Current_Brood_Size","maxbrood","Nestling_Fate"
272107823,2018,"Unit_2_124_2018",0.242774607361979,0.247104787226853,1858.47866546881,1.00026358254459,"12",18.8,40,0.47,NA,NA,NA,3.37,NA,"color_challenge","Dull",58.4,"Control","Dull",NA,"Dull_Control",272108041,"272107739","cross","F",0.5,7.1,3.4,15.4,2,6,"Fledged"
272107824,2018,"Unit_2_124_2018",0.317482353386602,0.320060981167763,1402.86659902475,1.00016054150409,"12",18.8,40,0.47,NA,NA,NA,1.88,NA,"color_challenge","Dull",58.4,"Control","Dull",NA,"Dull_Control",272108041,"272108041","home","M",0.5,4.4,1.9,32.2,2,6,"Fledged"
272106890,2018,"Unit_2_22_2018",0.183304347324425,0.181025344157455,810.972007712196,1.00020338273381,"12",17.8,47.5,0.91,NA,11.15,NA,2.72,NA,"color_challenge","Control",57.7,"Control","Control",263113739,"Control_Control",272106635,"272106635","home","F",0.9,11.1,2.7,30.7,5,5,"Fledged"
272106891,2018,"Unit_2_22_2018",0.221267908993697,0.213046053449077,978.970545672732,1.00019332162278,"12",20.2,47.5,1.73,NA,33.34,NA,3.82,NA,"color_challenge","Control",57.7,"Control","Control",272106916,"Control_Control",272106635,"272106733","cross","M",1.7,33.3,3.8,36.7,5,5,"Fledged"
272106893,2018,"Unit_2_22_2018",0.288379864076378,0.29307797669304,1278.47493974795,1.00024315494958,"12",20.2,51,1.32,NA,33.01,NA,4.35,NA,"color_challenge","Control",57.7,"Control","Control",272106916,"Control_Control",272106635,"272106733","cross","M",1.3,33,4.4,19,5,5,"Fledged"
272106894,2018,"Unit_2_22_2018",0.211927584001629,0.210395522402007,930.856299896426,1.00027507091335,"12",15.2,45.5,0.94,NA,17.14,NA,2.14,NA,"color_challenge","Control",57.7,"Control","Control",263113739,"Control_Control",272106635,"272106635","home","F",0.9,17.1,2.1,29.7,5,5,"Fledged"
272106895,2018,"Unit_2_22_2018",0.270180041945992,0.265026699164623,1200.43946383838,1.00025636261622,"12",20.3,49,1.44,NA,13.22,NA,5.6,NA,"color_challenge","Control",57.7,"Control","Control",NA,"Control_Control",272106635,"272106635","home","F",1.4,13.2,5.6,28.2,5,5,"Fledged"
272106825,2018,"Unit_2_109_2018",0.226363517986662,0.2205928151762,1002.21013871938,1.00020823552726,"12",20,39,3.09,NA,18.08,NA,0.97,NA,"color_challenge","Control",NA,"Predation","Control",263114244,"Control_Predator",272107739,"272107016","cross","F",3.1,18.1,1,19.9,2,5,"Fledged"
272106826,2018,"Unit_2_109_2018",0.328878106020571,0.322421464000492,1446.15701192656,1.00024752764403,"12",18.6,31,0.76,NA,55.28,NA,4.7,NA,"color_challenge","Control",NA,"Predation","Control",263114244,"Control_Predator",272107739,"272107016","cross","M",0.8,55.3,4.7,23.8,2,5,"Fledged"
272107430,2018,"Unit_2_95_2018",0.387045846441524,0.387992867581926,1850.64045496724,1.0003395027718,"12",13,38,8.49,NA,NA,NA,20.47,NA,"color_challenge","Dull",53.3,"Control","Dull",NA,"Dull_Control",272107161,"272106903","cross","M",8.5,31,20.5,NA,5,5,"Died"
272107432,2018,"Unit_2_95_2018",0.3319003667527,0.323979459465436,1467.32756924389,1.00019654347165,"12",18.5,48.5,0.47,NA,NA,NA,6.77,NA,"color_challenge","Dull",53.3,"Control","Dull",272107503,"Dull_Control",272107161,"272107161","home","F",0.5,13.1,6.8,43.4,5,5,"Fledged"
272107431,2018,"Unit_2_95_2018",NA,NA,NA,NA,"12",13,35.5,3.78,NA,NA,NA,5.41,NA,"color_challenge","Dull",53.3,"Control","Dull",272107690,"Dull_Control",272107161,"272106903","cross","F",3.8,18.6,5.4,NA,5,5,"Died"
272107428,2018,"Unit_2_95_2018",0.36257877144344,0.360662510862095,1597.44421924994,1.00017117452696,"12",9.8,38,0.47,NA,NA,NA,NA,NA,"color_challenge","Dull",53.3,"Control","Dull",263114244,"Dull_Control",272107161,"272106903","cross","F",0.5,22.9,NA,NA,5,5,"Died"
272107429,2018,"Unit_2_95_2018",0.319443464135667,0.313087421955579,1407.97404543748,1.00025110229395,"12",17,48,0.47,NA,NA,NA,0.89,NA,"color_challenge","Dull",53.3,"Control","Dull",272107503,"Dull_Control",272107161,"272107161","home","F",0.5,32,0.9,33.5,5,5,"Fledged"
272107440,2018,"Unit_2_80_2018",0.299800578283302,0.277793895074496,1327.62984755136,1.00024171726173,"12",19.4,40,54.06,NA,NA,NA,3.01,NA,"color_challenge","Dull",49.3,"Predation","Dull",272107256,"Dull_Predator",272106904,"272106904","home","M",54.1,13.6,3,40.5,4,5,"Died"
272107442,2018,"Unit_2_80_2018",0.277902995987733,0.276895351904223,2129.44493956867,1.00029034660255,"12",18.3,35,11.04,NA,NA,NA,5.04,NA,"color_challenge","Dull",49.3,"Predation","Dull",272106915,"Dull_Predator",272106904,"272106907","cross","F",11,32,5,26.6,4,5,"Died"
272107443,2018,"Unit_2_80_2018",0.244092727173587,0.238315435924308,1080.17622566468,1.00023502501343,"12",17.8,36,8.55,NA,NA,NA,4.45,NA,"color_challenge","Dull",49.3,"Predation","Dull",272106915,"Dull_Predator",272106904,"272106907","cross","M",8.5,31,4.5,23.9,4,5,"Fledged"
272107444,2018,"Unit_2_80_2018",0.363009659624309,0.369211575890836,1601.65024319298,1.00021628827583,"12",10,18,2.05,NA,NA,NA,4.65,NA,"color_challenge","Dull",49.3,"Predation","Dull",263114244,"Dull_Predator",272106904,"272106904","home","F",2.1,29.2,4.6,NA,4,5,"Died"
272107448,2018,"Unit_2_86_2018",0.141684503891942,0.145073076874487,1088.79938397259,1.00043462834148,"12",21.5,57.5,2.51,NA,NA,NA,10.42,NA,"color_challenge","Control",68,"Predation","Control",272107256,"Control_Predator",272106907,"272106904","cross","M",2.5,18.8,10.4,19.7,5,5,NA
272107449,2018,"Unit_2_86_2018",0.212144862397122,0.20890755659857,936.332149817459,1.00012690154627,"12",22.4,25.7,3.44,NA,NA,NA,4.54,NA,"color_challenge","Control",68,"Predation","Control",263114341,"Control_Predator",272106907,"272106907","home","F",3.4,30.1,4.5,17,5,5,NA
272107445,2018,"Unit_2_86_2018",0.203753498754644,0.211283872364975,898.828711039199,1.00021213578569,"12",24.6,58,2.42,NA,NA,NA,7.98,NA,"color_challenge","Control",68,"Predation","Control",263114341,"Control_Predator",272106907,"272106907","home","M",2.4,9.4,8,12.7,5,5,NA
272107446,2018,"Unit_2_86_2018",0.139773922244839,0.144393622256343,615.551691008931,1.00027081203894,"12",24.8,59,2.39,NA,NA,NA,NA,NA,"color_challenge","Control",68,"Predation","Control",263114341,"Control_Predator",272106907,"272106907","home","M",2.4,20.2,NA,10.7,5,5,NA
272107447,2018,"Unit_2_86_2018",0.295491167094683,0.294086880290187,1300.31581831024,1.00017738058472,"12",21.1,49,0.64,NA,NA,NA,8.01,NA,"color_challenge","Control",68,"Predation","Control",263114341,"Control_Predator",272106907,"272106907","home","M",0.6,2.3,8,28.4,5,5,NA
272106846,2018,"Unit_2_38_2018",0.474532898541894,0.457711937509855,2099.92975348904,1.00010059485729,"12",24.5,57,4.1,NA,20.13,NA,3.5,NA,"color_challenge","Control",39.9,"Control","Control",263114341,"Control_Control",272107806,"272107806","home","M",4.1,20.1,3.5,33,5,5,"Fledged"
272106847,2018,"Unit_2_38_2018",0.27713232995718,0.283738789111946,1223.8548083947,1.00014600792544,"12",22.25,54,0,NA,5.36,NA,3.52,NA,"color_challenge","Control",39.9,"Control","Control",NA,"Control_Control",272107806,"272106906","cross","M",NA,5.4,3.5,35.8,5,5,"Fledged"
272106848,2018,"Unit_2_38_2018",0.314146280539302,0.309350979473081,870.601116855744,1.00022715619762,"12",23.5,53,5.58,NA,17.94,NA,5.8,NA,"color_challenge","Control",39.9,"Control","Control",272107789,"Control_Control",272107806,"272107806","home","F",5.6,17.9,5.8,20.9,5,5,"Fledged"
272106849,2018,"Unit_2_38_2018",0.260259361780797,0.262064257379945,1147.70534911373,1.00016555989019,"12",22.75,54,4.6,NA,11.48,NA,3.84,NA,"color_challenge","Control",39.9,"Control","Control",NA,"Control_Control",272107806,"272106906","cross","M",4.6,11.5,3.8,28.2,5,5,"Fledged"
272106850,2018,"Unit_2_38_2018",0.30209442802623,0.302068658853332,1330.91099601755,1.00012703834089,"12",22,48,3.3,NA,13.37,NA,4.64,NA,"color_challenge","Control",39.9,"Control","Control",272107789,"Control_Control",272107806,"272107806","home","M",3.3,13.4,4.6,77.3,5,5,"Fledged"
272106832,2018,"Unit_2_8_2018",0.423801739389268,0.42335046903581,1869.06438713954,1.00016865482927,"12",20.5,48,1.01,NA,4.62,NA,4.97,NA,"color_challenge","Dull",55.7,"Control","Dull",272107816,"Dull_Control",272106902,"272107748","cross","F",1,4.6,5,NA,4,5,"Fledged"
272106833,2018,"Unit_2_8_2018",0.337308174905425,0.32889224354332,1495.54783034779,1.00018347799021,"12",24.25,51,2.1,NA,11.82,NA,6.72,NA,"color_challenge","Dull",55.7,"Control","Dull",272107816,"Dull_Control",272106902,"272107748","cross","M",2.1,11.8,6.7,21.1,4,5,"Fledged"
272106834,2018,"Unit_2_8_2018",0.300051257433264,0.299128864875204,1326.7918076866,1.00019365211178,"12",21,48,3.22,NA,12.79,NA,10.03,NA,"color_challenge","Dull",55.7,"Control","Dull",272107816,"Dull_Control",272106902,"272107748","cross","F",3.2,12.8,10,30.1,4,5,"Fledged"
272106835,2018,"Unit_2_8_2018",0.260851732896012,0.248029826023267,1256.18474753532,1.00049341704282,"12",22.25,48,1.01,NA,12.67,NA,4.89,NA,"color_challenge","Dull",55.7,"Control","Dull",272107789,"Dull_Control",272106902,"272106902","home","M",1,12.7,4.9,14.2,4,5,"Fledged"
272106836,2018,"Unit_2_12_2018",0.317250704212924,0.317953795393165,1404.27922840013,1.00016657754443,"12",19,48,0.47,NA,2.92,NA,2.66,NA,"color_challenge","Control",58.6,"Control","Control",272107816,"Control_Control",272107748,"272107748","home","M",0.5,2.9,2.7,24.9,6,6,"Fledged"
272106838,2018,"Unit_2_12_2018",0.211021939261557,0.215705556587293,936.127796220511,1.00017524585654,"12",23.5,67,1.03,NA,3.61,NA,8.82,NA,"color_challenge","Control",58.6,"Control","Control",272107789,"Control_Control",272107748,"272106902","cross","M",1,3.6,8.8,45.3,6,6,"Fledged"
272106839,2018,"Unit_2_12_2018",0.3658836640661,0.36559327554782,1616.77992183157,1.00015869475293,"12",21,55,4.76,NA,1.66,NA,1.57,NA,"color_challenge","Control",58.6,"Control","Control",272107816,"Control_Control",272107748,"272107748","home","M",4.8,1.7,1.6,34.9,6,6,"Fledged"
272106840,2018,"Unit_2_12_2018",0.322291233914136,0.314857012196265,1423.55969478998,1.00026085386758,"12",22.5,54,3.93,NA,14.97,NA,11.4,NA,"color_challenge","Control",58.6,"Control","Control",263113739,"Control_Control",272107748,"272106902","cross","M",3.9,15,11.4,35.4,6,6,"Fledged"
272106841,2018,"Unit_2_12_2018",0.314535412534229,0.329884695681921,1392.40348717043,1.00024690609598,"12",19.25,54,6.21,NA,2.59,NA,2.84,NA,"color_challenge","Control",58.6,"Control","Control",272107816,"Control_Control",272107748,"272107748","home","M",6.2,2.6,2.8,46.8,6,6,"Fledged"
272106842,2018,"Unit_2_12_2018",0.235645721466495,0.223929155695202,1043.71313109607,1.00023524602239,"12",20.5,57,2.73,NA,4.85,NA,3.06,NA,"color_challenge","Control",58.6,"Control","Control",272107816,"Control_Control",272107748,"272106902","cross","F",2.7,4.9,3.1,19.9,6,6,"Fledged"
156181129,2018,"Unit_2_14_2018",0.25035168399996,0.249083347398384,1105.52056250779,1.00021999291995,"12",21.5,39,1.24,NA,25.3,NA,7.85,NA,"color_challenge","Dull",54.2,"Predation","Dull",272107800,"Dull_Predator",272106905,"272106817","cross","M",NA,NA,NA,20.8,3,3,"Fledged"
156181130,2018,"Unit_2_14_2018",0.0737030005980029,0.0680537046087787,205.088297418544,1.00028659267728,"12",21.75,43,2.82,NA,36.32,NA,15.02,NA,"color_challenge","Dull",54.2,"Predation","Dull",272107762,"Dull_Predator",272106905,"272106905","home","M",2.8,36.3,15,44.9,3,3,"Died"
156181131,2018,"Unit_2_14_2018",0.387904463324256,0.390431566282645,1714.52531119114,1.000088586767,"12",20,43,1.55,NA,12.49,NA,10.76,NA,"color_challenge","Dull",54.2,"Predation","Dull",272107762,"Dull_Predator",272106905,"272106905","home","F",1.6,12.5,10.8,41.7,3,3,"Fledged"
272106843,2018,"Unit_2_34_2018",0.223394303773406,0.223548786081052,986.254250353848,1.00014658657066,"12",20.5,44,1.23,NA,2.3,NA,2.74,NA,"color_challenge","Dull",41.5,"Control","Dull",272107257,"Dull_Control",272107805,"272107805","home","F",1.2,2.3,2.7,39,4,4,"Fledged"
272106845,2018,"Unit_2_34_2018",0.341160009936991,0.346098732186158,1510.73095822134,1.00009774659605,"12",15.25,33,1.2,NA,3.67,NA,4.13,NA,"color_challenge","Dull",41.5,"Control","Dull",NA,"Dull_Control",272107805,"272107804","cross","F",1.2,3.7,4.1,32,4,4,"Fledged"
272106837,2018,"Unit_2_34_2018",0.500469952894891,0.497974628147062,2209.6588818861,1.00008266441799,"12",18,42,6.29,NA,3.05,NA,3.29,NA,"color_challenge","Dull",41.5,"Control","Dull",NA,"Dull_Control",272107805,"272107804","cross","M",6.3,3,3.3,49.5,4,4,"Fledged"
272107266,2018,"Unit_4_80_2018",0.251397796269692,0.25754393850033,1109.29312821639,1.00018672677834,"12",21.5,53,1.81,NA,6.6,NA,3.07,NA,"color_challenge","Control",43.8,"Control","Control",NA,"Control_Control",272107599,"272107599","home","M",1.8,6.6,3.1,19,5,5,"Fledged"
272107267,2018,"Unit_4_80_2018",0.338878121863609,0.334292372324378,1496.41551394336,1.00004574862352,"12",23,54,3.97,NA,19.64,NA,5.85,NA,"color_challenge","Control",43.8,"Control","Control",239159375,"Control_Control",272107599,"272107298","cross","M",4,19.6,5.8,23.5,5,5,"Fledged"
272107268,2018,"Unit_4_80_2018",0.298687191338616,0.29733165212178,1318.66554475573,1.00015389555599,"12",25,57,0.47,NA,10.67,NA,3.99,NA,"color_challenge","Control",43.8,"Control","Control",272107693,"Control_Control",272107599,"272107298","cross","M",0.5,10.7,4,0.8,5,5,"Fledged"
272107269,2018,"Unit_4_80_2018",0.414986645082417,0.395779216654716,1831.56239333452,1.00004905770211,"12",21,52,1.22,NA,8.24,NA,2.61,NA,"color_challenge","Control",43.8,"Control","Control",NA,"Control_Control",272107599,"272107599","home","F",1.2,8.2,2.6,14.4,5,5,"Fledged"
272107270,2018,"Unit_4_80_2018",0.403913981596925,0.410305396208465,1787.95684891833,1.00008947931279,"12",23.5,56,1.82,NA,10.4,NA,6.18,NA,"color_challenge","Control",43.8,"Control","Control",272107693,"Control_Control",272107599,"272107298","cross","F",1.8,10.4,6.2,14.1,5,5,"Fledged"
272107271,2018,"Unit_1_91_2018",0.375939948123402,0.376158759386659,1667.46944941637,1.00020719476323,"12",18.25,49,1.29,NA,29.38,NA,8.77,NA,"color_challenge","Control",56.2,"Predation","Control",262125966,"Control_Predator",272107809,"232146953","cross","M",1.3,29.4,8.8,6.3,5,5,"Died"
272107272,2018,"Unit_1_91_2018",NA,NA,NA,NA,"12",20,49,3.32,NA,28.2,NA,5.14,NA,"color_challenge","Control",56.2,"Predation","Control",NA,"Control_Predator",272107809,"232146953","cross","F",3.3,28.2,5.1,15,5,5,"Fledged"
272107274,2018,"Unit_1_91_2018",0.191030290406846,0.194885530369006,1195.26141756345,1.00035318960948,"12",19,42,7.56,NA,24.81,NA,7.02,NA,"color_challenge","Control",56.2,"Predation","Control",272107634,"Control_Predator",272107809,"272107809","home","F",7.6,24.8,7,2.5,5,5,"Fledged"
272107275,2018,"Unit_1_91_2018",0.24282192607322,0.249650772315474,1558.2149749529,1.00042528423614,"12",20.5,48,0.47,NA,39.93,NA,3.48,NA,"color_challenge","Control",56.2,"Predation","Control",262125966,"Control_Predator",272107809,"232146953","cross","M",0.5,39.9,3.5,12.5,5,5,"Fledged"
272107273,2018,"Unit_1_91_2018",0.236007773103312,0.225511742175749,1472.46779695435,1.00031986137354,"12",19.5,44,0.47,NA,12.97,NA,NA,NA,"color_challenge","Control",56.2,"Predation","Control",272107529,"Control_Predator",272107809,"272107809","home","F",0.5,13,NA,19.3,5,5,"Fledged"
272107276,2018,"Unit_1_81_2018",0.138577983471534,0.139723408540739,867.578860790708,1.00045432400325,"12",19.5,48,3.7,NA,46.26,NA,3.6,NA,"color_challenge","Dull",55.9,"Control","Dull",272107634,"Dull_Control",232146953,"272107809","cross","F",3.7,46.3,3.6,7.1,5,5,"Fledged"
272107277,2018,"Unit_1_81_2018",0.274634730758915,0.278808070653153,1720.60957024091,1.00043050945929,"12",19.75,54,6.66,NA,47.18,NA,9.17,NA,"color_challenge","Dull",55.9,"Control","Dull",262125966,"Dull_Control",232146953,"232146953","home","F",6.7,47.2,9.2,7.2,5,5,"Died"
272107278,2018,"Unit_1_81_2018",0.267784406056553,0.266942874017372,1673.39354111049,1.00038093863976,"12",20.5,52,3.08,NA,20.51,NA,4.68,NA,"color_challenge","Dull",55.9,"Control","Dull",272107634,"Dull_Control",232146953,"272107809","cross","F",3.1,20.5,4.7,4.5,5,5,"Fledged"
272107279,2018,"Unit_1_81_2018",0.26540027371958,0.269226680376313,1655.93277262106,1.00030902405602,"12",18.5,45,2.98,NA,37.35,NA,6.09,NA,"color_challenge","Dull",55.9,"Control","Dull",272107634,"Dull_Control",232146953,"272107809","cross","F",3,37.3,6.1,19.7,5,5,"Fledged"
272107280,2018,"Unit_1_81_2018",0.27746244156204,0.283445803984178,1739.0083047652,1.00030141349097,"12",19.75,54,2.47,NA,16.18,NA,10.37,NA,"color_challenge","Dull",55.9,"Control","Dull",262125966,"Dull_Control",232146953,"232146953","home","F",2.5,16.2,10.4,13.8,5,5,"Fledged"
272107691,2018,"Unit_4_62_2018",0.248554926736444,0.241956202596353,1552.72616931133,1.00039933093118,"12",22,43,0.83,NA,NA,NA,4.57,NA,"color_challenge","Dull",57.4,"Predation","Dull",259122329,"Dull_Predator",272107219,"240134898","cross","M",0.8,19.3,4.6,20.9,2,6,"Fledged"
272107692,2018,"Unit_4_62_2018",0.202256658491425,0.206558368705924,1265.46310644215,1.00041763432035,"12",21,48,3.48,NA,NA,NA,4.94,NA,"color_challenge","Dull",57.4,"Predation","Dull",240134830,"Dull_Predator",272107219,"240134898","cross","F",3.5,24.8,4.9,20,2,6,"Fledged"
156181132,2018,"Unit_2_2_2018",0.174160874976751,0.172603619576199,1088.71533499622,1.00038248368926,"12",20,53,1.13,NA,5.62,NA,3.64,NA,"color_challenge","Control",47.1,"Control","Control",NA,"Control_Control",272107807,"272107807","home","M",1.1,5.6,3.6,36.2,5,5,"Fledged"
156181133,2018,"Unit_2_2_2018",0.254247045858809,0.251138899719957,1592.20655457301,1.00039945179515,"12",20,52.5,0.47,NA,7.66,NA,NA,NA,"color_challenge","Control",47.1,"Control","Control",263113739,"Control_Control",272107807,"272107297","cross","F",0.5,7.7,NA,23.2,5,5,"Fledged"
156181134,2018,"Unit_2_2_2018",0.218057281883431,0.218351478138173,1363.51443114017,1.0003474544543,"12",19.5,53,0.47,NA,32.02,NA,3.4,NA,"color_challenge","Control",47.1,"Control","Control",272107817,"Control_Control",272107807,"272107807","home","M",0.5,32,3.4,31.8,5,5,"Fledged"
156181135,2018,"Unit_2_2_2018",0.233158289640721,0.231744169892548,1457.8642243784,1.00034597910656,"12",23.3,53,1.61,NA,11.64,NA,2.95,NA,"color_challenge","Control",47.1,"Control","Control",NA,"Control_Control",272107807,"272107297","cross","F",1.6,11.6,2.9,22.2,5,5,"Fledged"
156181136,2018,"Unit_2_2_2018",0.228865349281596,0.224671299721217,1433.52129094669,1.00040151253909,"12",17,40,0.93,NA,34.87,NA,3.62,NA,"color_challenge","Control",47.1,"Control","Control",NA,"Control_Control",272107807,"272107807","home","F",0.9,34.9,3.6,37.3,5,5,"Died"
156181137,2018,"Unit_2_21_2018",0.147277525104883,0.151181649218268,916.647182554705,1.00045518410182,"12",15.5,46,9.86,NA,48.23,NA,4.86,NA,"color_challenge","Dull",49.2,"Predation","Dull",272107530,"Dull_Predator",88004754,"272107801","cross","M",9.9,48.2,4.9,35.3,4,6,"Died"
156181138,2018,"Unit_2_21_2018",0.152510665382956,0.141336388110674,953.19562336983,1.00045151695069,"12",19,46,4.68,NA,32.1,NA,2.07,NA,"color_challenge","Dull",49.2,"Predation","Dull",272107530,"Dull_Predator",88004754,"272107801","cross","F",4.7,32.1,2.1,NA,4,6,"Died"
156181139,2018,"Unit_2_21_2018",NA,NA,NA,NA,"12",15,40,NA,NA,38.78,NA,7.11,NA,"color_challenge","Dull",49.2,"Predation","Dull",272107689,"Dull_Predator",88004754,"272107801","cross","F",NA,38.8,7.1,NA,4,6,"Died"
156181140,2018,"Unit_2_21_2018",0.270642369094992,0.279505973044549,1689.36122178047,1.00036844722465,"12",13.75,35,24.52,NA,55.03,NA,4.2,NA,"color_challenge","Dull",49.2,"Predation","Dull",NA,"Dull_Predator",88004754,"88004754","home","F",24.5,55,4.2,NA,4,6,"Died"
